GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
SNRPB2	-0.071	4.902	-0.586	5.74E-01	7.07E-01	-7.275	Not significant
CENPV	-0.079	5.082	-0.585	5.74E-01	7.07E-01	-7.276	Not significant
GTF2H4	0.074	4.292	0.584	5.75E-01	7.08E-01	-7.276	Not significant
BZW1	0.069	5.636	0.583	5.76E-01	7.08E-01	-7.277	Not significant
RPL6	-0.070	5.667	-0.582	5.76E-01	7.08E-01	-7.277	Not significant
RPS4X	-0.077	4.796	-0.583	5.75E-01	7.08E-01	-7.277	Not significant
PPP1R8	-0.078	4.014	-0.583	5.76E-01	7.08E-01	-7.277	Not significant
TNFAIP8L2	-0.106	4.697	-0.582	5.76E-01	7.08E-01	-7.277	Not significant
GALNT2	0.069	4.367	0.581	5.77E-01	7.09E-01	-7.279	Not significant
POLR3A	-0.073	3.196	-0.580	5.78E-01	7.10E-01	-7.279	Not significant
DDB1	-0.076	5.312	-0.580	5.78E-01	7.10E-01	-7.279	Not significant
LIMS1	-0.087	5.381	-0.578	5.79E-01	7.11E-01	-7.280	Not significant
RING1	0.072	3.989	0.576	5.80E-01	7.12E-01	-7.282	Not significant
RPL36	-0.070	5.058	-0.575	5.81E-01	7.13E-01	-7.282	Not significant
SMN1	0.068	5.128	0.574	5.81E-01	7.13E-01	-7.283	Not significant
EED	0.068	3.220	0.572	5.83E-01	7.14E-01	-7.284	Not significant
GLA	0.065	5.247	0.572	5.82E-01	7.14E-01	-7.284	Not significant
CSNK2B	-0.066	4.739	-0.571	5.83E-01	7.14E-01	-7.284	Not significant
COL4A3BP	-0.072	4.334	-0.572	5.83E-01	7.14E-01	-7.284	Not significant
RPS12	-0.076	5.637	-0.572	5.83E-01	7.14E-01	-7.284	Not significant
GDI1	-0.081	4.318	-0.573	5.82E-01	7.14E-01	-7.283	Not significant
FNBP1	-0.084	5.050	-0.571	5.83E-01	7.14E-01	-7.284	Not significant
CWC15	-0.090	4.573	-0.572	5.82E-01	7.14E-01	-7.284	Not significant
RPL27A	0.072	5.101	0.569	5.84E-01	7.15E-01	-7.286	Not significant
MATR3	0.070	4.749	0.569	5.84E-01	7.15E-01	-7.285	Not significant
L3HYPDH	-0.073	5.280	-0.567	5.86E-01	7.17E-01	-7.287	Not significant
ARF5	-0.074	4.746	-0.565	5.87E-01	7.18E-01	-7.288	Not significant
DRG1	-0.064	4.734	-0.563	5.88E-01	7.19E-01	-7.289	Not significant
EIF1AY	-0.087	5.472	-0.563	5.89E-01	7.19E-01	-7.289	Not significant
MAPK1	-0.070	4.557	-0.561	5.89E-01	7.20E-01	-7.290	Not significant
ANAPC10	0.089	4.017	0.560	5.90E-01	7.20E-01	-7.291	Not significant
RBM33	0.073	5.303	0.560	5.90E-01	7.20E-01	-7.291	Not significant
PAF1	-0.069	4.622	-0.561	5.90E-01	7.20E-01	-7.291	Not significant
RALB	-0.076	5.098	-0.560	5.90E-01	7.20E-01	-7.291	Not significant
MCMBP	0.099	4.149	0.558	5.92E-01	7.22E-01	-7.293	Not significant
RABGGTB	0.072	5.575	0.557	5.92E-01	7.22E-01	-7.293	Not significant
EIF4G3	-0.063	4.686	-0.557	5.92E-01	7.22E-01	-7.293	Not significant
C9orf114	0.081	4.508	0.556	5.93E-01	7.23E-01	-7.293	Not significant
RAP1A	0.064	5.766	0.556	5.93E-01	7.23E-01	-7.294	Not significant
GSTK1	-0.063	4.801	-0.555	5.94E-01	7.24E-01	-7.294	Not significant
NOSIP	-0.074	4.419	-0.552	5.95E-01	7.25E-01	-7.296	Not significant
RPS3	0.068	5.486	0.552	5.96E-01	7.25E-01	-7.296	Not significant
LAMTOR2	-0.067	4.614	-0.551	5.97E-01	7.26E-01	-7.297	Not significant
RBBP5	-0.098	5.565	-0.550	5.97E-01	7.26E-01	-7.297	Not significant
RASSF2	-0.075	5.145	-0.550	5.97E-01	7.26E-01	-7.297	Not significant
ADRM1	0.084	4.284	0.549	5.97E-01	7.26E-01	-7.298	Not significant
DDX39A	0.072	4.575	0.549	5.97E-01	7.26E-01	-7.298	Not significant
UQCRFS1P1	0.063	5.651	0.548	5.98E-01	7.27E-01	-7.298	Not significant
DHRS4	-0.069	4.782	-0.548	5.98E-01	7.27E-01	-7.298	Not significant
MTMR14	-0.079	3.682	-0.548	5.98E-01	7.27E-01	-7.298	Not significant
STT3B	0.070	4.655	0.545	6.00E-01	7.29E-01	-7.300	Not significant
GALK2	0.065	5.061	0.545	6.01E-01	7.29E-01	-7.300	Not significant
PRPF39	0.064	4.612	0.544	6.01E-01	7.29E-01	-7.301	Not significant
CCDC9	-0.076	4.901	-0.544	6.01E-01	7.29E-01	-7.301	Not significant
BCCIP	-0.069	5.407	-0.544	6.01E-01	7.29E-01	-7.301	Not significant
RAN	-0.066	5.726	-0.542	6.02E-01	7.30E-01	-7.302	Not significant
TRAPPC5	-0.071	5.721	-0.541	6.03E-01	7.31E-01	-7.302	Not significant
ZNF638	0.065	4.778	0.541	6.03E-01	7.31E-01	-7.302	Not significant
PSMA2	0.061	4.424	0.540	6.03E-01	7.31E-01	-7.303	Not significant
PIK3CB	-0.069	3.935	-0.537	6.06E-01	7.34E-01	-7.305	Not significant
MRPL39	-0.069	5.149	-0.537	6.06E-01	7.34E-01	-7.305	Not significant
RABGGTA	0.062	4.577	0.536	6.06E-01	7.34E-01	-7.305	Not significant
ARL14EP	0.075	4.336	0.535	6.07E-01	7.34E-01	-7.306	Not significant
RPS3A	-0.063	5.445	-0.534	6.08E-01	7.35E-01	-7.307	Not significant
LUZP1	0.066	4.335	0.532	6.09E-01	7.36E-01	-7.308	Not significant
RECQL	0.063	5.054	0.532	6.09E-01	7.36E-01	-7.308	Not significant
RPS14	-0.072	4.368	-0.532	6.09E-01	7.36E-01	-7.307	Not significant
WDR81	0.087	4.178	0.532	6.09E-01	7.36E-01	-7.308	Not significant
TMEM87B	0.097	3.726	0.529	6.11E-01	7.38E-01	-7.309	Not significant
MAPRE1	-0.070	5.503	-0.529	6.11E-01	7.38E-01	-7.309	Not significant
RBM39	-0.063	5.484	-0.528	6.11E-01	7.38E-01	-7.310	Not significant
ANAPC7	0.140	3.734	0.528	6.12E-01	7.38E-01	-7.310	Not significant
TUBA1C	0.066	4.009	0.527	6.12E-01	7.38E-01	-7.310	Not significant
EXOC2	0.060	4.533	0.527	6.12E-01	7.38E-01	-7.310	Not significant
UQCRC2	0.059	4.862	0.527	6.12E-01	7.38E-01	-7.311	Not significant
C14orf166	-0.092	4.927	-0.527	6.12E-01	7.38E-01	-7.310	Not significant
NCAPG2	0.098	4.360	0.526	6.13E-01	7.39E-01	-7.311	Not significant
WARS2	0.066	4.225	0.526	6.13E-01	7.39E-01	-7.311	Not significant
NIPBL	0.060	4.191	0.525	6.13E-01	7.39E-01	-7.311	Not significant
EHMT1	-0.061	4.291	-0.525	6.14E-01	7.39E-01	-7.312	Not significant
SSSCA1	-0.060	3.932	-0.524	6.14E-01	7.40E-01	-7.312	Not significant
AMPD2	-0.071	5.050	-0.523	6.15E-01	7.40E-01	-7.313	Not significant
MIS12	-0.069	4.115	-0.522	6.15E-01	7.41E-01	-7.313	Not significant
LMAN1	-0.070	4.592	-0.521	6.16E-01	7.41E-01	-7.314	Not significant
BROX	0.061	5.217	0.520	6.17E-01	7.42E-01	-7.315	Not significant
PDHA1	0.059	4.605	0.520	6.17E-01	7.42E-01	-7.315	Not significant
CTR9	0.077	4.804	0.519	6.17E-01	7.42E-01	-7.315	Not significant
ALDH1B1	0.062	4.124	0.515	6.20E-01	7.45E-01	-7.317	Not significant
CUL5	0.068	5.166	0.514	6.21E-01	7.45E-01	-7.318	Not significant
RDH14	0.062	4.890	0.514	6.21E-01	7.45E-01	-7.318	Not significant
PSME4	0.058	4.363	0.514	6.21E-01	7.45E-01	-7.318	Not significant
ARAF	0.068	4.024	0.513	6.22E-01	7.46E-01	-7.319	Not significant
DOK2	0.059	4.351	0.513	6.22E-01	7.46E-01	-7.319	Not significant
UBE2G2	-0.058	5.365	-0.512	6.22E-01	7.46E-01	-7.319	Not significant
TCERG1	-0.060	4.953	-0.512	6.22E-01	7.46E-01	-7.319	Not significant
DNAJC2	0.061	4.467	0.512	6.22E-01	7.46E-01	-7.319	Not significant
ACBD3	0.060	4.857	0.511	6.23E-01	7.46E-01	-7.320	Not significant
KRR1	0.060	5.092	0.511	6.23E-01	7.46E-01	-7.320	Not significant
ARFGAP3	0.058	5.262	0.511	6.23E-01	7.46E-01	-7.320	Not significant
RPL7A	-0.059	5.605	-0.511	6.23E-01	7.46E-01	-7.320	Not significant
LETM1	-0.068	4.937	-0.509	6.24E-01	7.47E-01	-7.320	Not significant
WRNIP1	-0.076	4.235	-0.509	6.24E-01	7.47E-01	-7.320	Not significant
VPS36	-0.092	4.738	-0.510	6.24E-01	7.47E-01	-7.320	Not significant
NACC1	0.067	3.482	0.508	6.25E-01	7.47E-01	-7.321	Not significant
KRAS	0.059	5.340	0.508	6.25E-01	7.47E-01	-7.321	Not significant
SUPT6H	0.058	4.618	0.508	6.24E-01	7.47E-01	-7.321	Not significant
SNX1	-0.060	5.481	-0.508	6.25E-01	7.47E-01	-7.321	Not significant
TRMT61A	-0.091	3.581	-0.509	6.24E-01	7.47E-01	-7.321	Not significant
DLAT	0.060	4.806	0.507	6.25E-01	7.47E-01	-7.322	Not significant
SUN2	0.061	4.356	0.505	6.27E-01	7.49E-01	-7.323	Not significant
PPID	-0.059	5.264	-0.504	6.27E-01	7.49E-01	-7.323	Not significant
ZNF330	0.059	3.704	0.503	6.28E-01	7.50E-01	-7.324	Not significant
MED8	-0.058	5.705	-0.502	6.29E-01	7.50E-01	-7.324	Not significant
TSPYL5	-0.064	3.559	-0.502	6.29E-01	7.50E-01	-7.325	Not significant
ZNF687	-0.068	3.872	-0.502	6.29E-01	7.50E-01	-7.325	Not significant
PDE4DIP	-0.070	4.264	-0.502	6.29E-01	7.50E-01	-7.325	Not significant
RPL32	0.061	5.278	0.500	6.30E-01	7.51E-01	-7.325	Not significant
NECTIN2	-0.057	3.767	-0.500	6.30E-01	7.51E-01	-7.325	Not significant
GOPC	0.065	4.768	0.499	6.31E-01	7.51E-01	-7.326	Not significant
NUP188	0.101	3.815	0.499	6.31E-01	7.52E-01	-7.326	Not significant
DDX50	0.059	4.964	0.497	6.32E-01	7.52E-01	-7.327	Not significant
DNAJA4	0.057	5.066	0.497	6.32E-01	7.52E-01	-7.327	Not significant
ABCD3	-0.057	5.164	-0.498	6.32E-01	7.52E-01	-7.327	Not significant
RBM26	-0.064	4.577	-0.498	6.32E-01	7.52E-01	-7.327	Not significant
RPLP1	-0.069	5.277	-0.497	6.32E-01	7.52E-01	-7.327	Not significant
NCEH1	-0.102	4.071	-0.498	6.32E-01	7.52E-01	-7.327	Not significant
GPCPD1	-0.085	3.640	-0.495	6.33E-01	7.53E-01	-7.328	Not significant
GOT2	-0.089	5.030	-0.496	6.33E-01	7.53E-01	-7.328	Not significant
ACOX1	-0.058	4.439	-0.494	6.34E-01	7.53E-01	-7.328	Not significant
RC3H1	-0.083	3.113	-0.494	6.34E-01	7.53E-01	-7.329	Not significant
UTP6	0.061	4.795	0.494	6.34E-01	7.53E-01	-7.329	Not significant
RANBP3	0.075	4.530	0.491	6.36E-01	7.55E-01	-7.330	Not significant
RAE1	0.056	4.967	0.491	6.36E-01	7.55E-01	-7.330	Not significant
SRSF6	-0.062	4.652	-0.491	6.36E-01	7.55E-01	-7.331	Not significant
DNAJA2	0.059	5.672	0.490	6.37E-01	7.55E-01	-7.331	Not significant
ABHD12	-0.059	4.230	-0.488	6.39E-01	7.57E-01	-7.332	Not significant
F8A1	0.060	4.783	0.486	6.39E-01	7.57E-01	-7.333	Not significant
MEMO1	0.056	4.259	0.487	6.39E-01	7.57E-01	-7.333	Not significant
DYNC1LI2	-0.071	4.644	-0.487	6.39E-01	7.57E-01	-7.333	Not significant
FNTA	-0.079	4.909	-0.487	6.39E-01	7.57E-01	-7.332	Not significant
OPA1	0.063	4.628	0.486	6.40E-01	7.57E-01	-7.333	Not significant
NNT	0.055	5.058	0.486	6.40E-01	7.58E-01	-7.333	Not significant
EZH2	0.064	4.825	0.485	6.40E-01	7.58E-01	-7.333	Not significant
CPT2	0.068	4.914	0.485	6.40E-01	7.58E-01	-7.333	Not significant
ACTR1A	-0.061	4.855	-0.485	6.41E-01	7.58E-01	-7.334	Not significant
NAGA	-0.095	4.074	-0.484	6.41E-01	7.58E-01	-7.334	Not significant
PCM1	0.061	4.811	0.482	6.43E-01	7.59E-01	-7.335	Not significant
CLPB	0.057	4.344	0.482	6.42E-01	7.59E-01	-7.335	Not significant
VAPA	-0.061	5.016	-0.482	6.43E-01	7.59E-01	-7.335	Not significant
EXOC1	0.062	4.501	0.480	6.44E-01	7.60E-01	-7.336	Not significant
CAND1	0.079	5.075	0.479	6.45E-01	7.61E-01	-7.337	Not significant
RPL19	-0.058	4.595	-0.479	6.45E-01	7.61E-01	-7.337	Not significant
PCNT	-0.058	4.396	-0.477	6.46E-01	7.63E-01	-7.338	Not significant
PSMB2	0.062	5.408	0.475	6.47E-01	7.63E-01	-7.339	Not significant
ARRB1	0.054	4.924	0.475	6.47E-01	7.63E-01	-7.339	Not significant
MGST3	0.067	4.294	0.473	6.49E-01	7.65E-01	-7.340	Not significant
NOP2	-0.070	5.239	-0.472	6.49E-01	7.66E-01	-7.340	Not significant
CNOT2	-0.055	4.288	-0.471	6.50E-01	7.66E-01	-7.341	Not significant
PPIL4	-0.056	5.256	-0.471	6.50E-01	7.66E-01	-7.341	Not significant
SLC25A3	-0.071	5.736	-0.471	6.50E-01	7.66E-01	-7.341	Not significant
MPHOSPH10	0.058	4.741	0.470	6.50E-01	7.66E-01	-7.341	Not significant
NAA16	-0.055	3.703	-0.470	6.51E-01	7.66E-01	-7.341	Not significant
CIZ1	-0.066	3.951	-0.470	6.51E-01	7.66E-01	-7.341	Not significant
CTNNA1	0.057	4.528	0.468	6.52E-01	7.67E-01	-7.342	Not significant
MMGT1	-0.055	4.646	-0.468	6.52E-01	7.67E-01	-7.342	Not significant
PRMT7	-0.053	3.686	-0.467	6.53E-01	7.67E-01	-7.343	Not significant
PSMC5	-0.061	5.058	-0.467	6.52E-01	7.67E-01	-7.343	Not significant
KBTBD11	-0.090	3.457	-0.466	6.53E-01	7.68E-01	-7.343	Not significant
MTCH2	-0.055	4.958	-0.464	6.54E-01	7.69E-01	-7.344	Not significant
CASP3	0.058	4.800	0.464	6.55E-01	7.69E-01	-7.344	Not significant
U2AF1	-0.053	4.278	-0.463	6.55E-01	7.70E-01	-7.345	Not significant
PTPN9	0.060	4.285	0.463	6.56E-01	7.70E-01	-7.345	Not significant
TRNT1	-0.057	4.683	-0.460	6.57E-01	7.72E-01	-7.346	Not significant
KIAA1524	-0.063	4.358	-0.459	6.58E-01	7.73E-01	-7.347	Not significant
LARS	0.053	4.991	0.458	6.59E-01	7.73E-01	-7.348	Not significant
MTA2	-0.053	4.859	-0.457	6.59E-01	7.73E-01	-7.348	Not significant
VASP	-0.061	4.918	-0.458	6.59E-01	7.73E-01	-7.347	Not significant
SZRD1	-0.062	3.688	-0.457	6.59E-01	7.73E-01	-7.348	Not significant
PDLIM4	-0.055	4.819	-0.454	6.62E-01	7.76E-01	-7.350	Not significant
PAFAH1B2	0.061	4.142	0.452	6.63E-01	7.76E-01	-7.350	Not significant
DUSP12	0.054	4.536	0.452	6.63E-01	7.76E-01	-7.350	Not significant
TMED1	0.051	5.252	0.452	6.63E-01	7.76E-01	-7.350	Not significant
MTOR	0.076	3.892	0.451	6.63E-01	7.77E-01	-7.351	Not significant
WASF2	0.054	5.276	0.451	6.64E-01	7.77E-01	-7.351	Not significant
EEFSEC	-0.055	5.077	-0.451	6.64E-01	7.77E-01	-7.351	Not significant
MRPL50	-0.064	4.317	-0.451	6.64E-01	7.77E-01	-7.351	Not significant
BOD1L1	-0.055	4.369	-0.449	6.65E-01	7.78E-01	-7.352	Not significant
TSSC4	0.056	4.686	0.449	6.65E-01	7.78E-01	-7.352	Not significant
RIC8A	-0.052	4.635	-0.449	6.65E-01	7.78E-01	-7.352	Not significant
SEC23B	-0.054	4.245	-0.448	6.66E-01	7.78E-01	-7.353	Not significant
PLEKHA2	-0.053	4.699	-0.447	6.66E-01	7.79E-01	-7.353	Not significant
NDUFAF4	-0.051	5.047	-0.445	6.68E-01	7.80E-01	-7.354	Not significant
TKT	-0.051	5.473	-0.445	6.68E-01	7.80E-01	-7.354	Not significant
MRPL13	0.061	3.933	0.445	6.68E-01	7.80E-01	-7.354	Not significant
DDX52	0.059	4.798	0.444	6.69E-01	7.80E-01	-7.354	Not significant
NDUFA4	0.051	4.442	0.443	6.69E-01	7.81E-01	-7.355	Not significant
SACM1L	0.054	4.562	0.442	6.70E-01	7.82E-01	-7.355	Not significant
TGFBI	-0.071	4.267	-0.441	6.71E-01	7.82E-01	-7.356	Not significant
REXO4	0.050	4.832	0.440	6.71E-01	7.83E-01	-7.356	Not significant
CAD	-0.052	4.497	-0.440	6.72E-01	7.83E-01	-7.356	Not significant
TRAF6	-0.051	4.301	-0.438	6.72E-01	7.83E-01	-7.357	Not significant
SNAPIN	0.062	4.096	0.437	6.73E-01	7.84E-01	-7.358	Not significant
LCMT1	0.054	4.056	0.437	6.73E-01	7.84E-01	-7.358	Not significant
MRPL2	0.050	4.613	0.437	6.73E-01	7.84E-01	-7.357	Not significant
PRKRA	-0.065	4.912	-0.437	6.73E-01	7.84E-01	-7.358	Not significant
APPL1	-0.069	3.584	-0.438	6.73E-01	7.84E-01	-7.357	Not significant
CASKIN2	0.121	4.099	0.434	6.75E-01	7.84E-01	-7.359	Not significant
WDFY1	0.069	4.840	0.433	6.76E-01	7.84E-01	-7.359	Not significant
TMEM43	0.064	4.802	0.436	6.74E-01	7.84E-01	-7.358	Not significant
DAXX	0.051	5.516	0.434	6.75E-01	7.84E-01	-7.359	Not significant
TPP2	-0.049	5.013	-0.433	6.76E-01	7.84E-01	-7.359	Not significant
MRPS15	-0.049	5.116	-0.434	6.75E-01	7.84E-01	-7.359	Not significant
LARP1	-0.049	5.045	-0.434	6.76E-01	7.84E-01	-7.359	Not significant
SFSWAP	-0.057	5.194	-0.434	6.76E-01	7.84E-01	-7.359	Not significant
GCDH	-0.062	4.750	-0.433	6.76E-01	7.84E-01	-7.359	Not significant
BRK1	-0.063	4.945	-0.436	6.74E-01	7.84E-01	-7.358	Not significant
USP11	-0.069	4.556	-0.435	6.75E-01	7.84E-01	-7.359	Not significant
THUMPD1	0.062	5.925	0.431	6.77E-01	7.85E-01	-7.360	Not significant
NDUFC2	-0.053	6.018	-0.430	6.78E-01	7.86E-01	-7.361	Not significant
BCL10	-0.056	4.478	-0.429	6.79E-01	7.87E-01	-7.362	Not significant
CAPZB	-0.050	5.071	-0.428	6.80E-01	7.87E-01	-7.362	Not significant
ACTR2	-0.052	4.871	-0.428	6.80E-01	7.87E-01	-7.362	Not significant
UMPS	-0.053	4.914	-0.428	6.80E-01	7.87E-01	-7.362	Not significant
CASC4	-0.073	3.908	-0.425	6.82E-01	7.89E-01	-7.363	Not significant
FAM96A	-0.048	4.675	-0.424	6.83E-01	7.90E-01	-7.364	Not significant
LIG3	-0.048	4.781	-0.423	6.83E-01	7.91E-01	-7.364	Not significant
HSDL2	-0.054	5.266	-0.422	6.84E-01	7.91E-01	-7.365	Not significant
SHOC2	0.047	4.320	0.420	6.85E-01	7.92E-01	-7.365	Not significant
AP1S2	-0.056	3.894	-0.419	6.86E-01	7.93E-01	-7.366	Not significant
UVRAG	0.072	4.103	0.418	6.87E-01	7.94E-01	-7.367	Not significant
LONP1	-0.048	5.080	-0.418	6.87E-01	7.94E-01	-7.367	Not significant
ACOX3	-0.059	4.475	-0.417	6.87E-01	7.94E-01	-7.367	Not significant
SRPRB	0.049	5.298	0.416	6.88E-01	7.94E-01	-7.367	Not significant
EMG1	0.058	4.398	0.415	6.89E-01	7.95E-01	-7.368	Not significant
RNF146	0.056	4.959	0.413	6.90E-01	7.96E-01	-7.369	Not significant
SON	0.066	5.150	0.412	6.91E-01	7.97E-01	-7.369	Not significant
COPE	0.047	4.251	0.412	6.91E-01	7.97E-01	-7.369	Not significant
VMA21	-0.047	4.527	-0.412	6.91E-01	7.97E-01	-7.369	Not significant
RGS19	0.051	4.570	0.411	6.92E-01	7.97E-01	-7.370	Not significant
NCAPG	-0.049	3.979	-0.411	6.92E-01	7.97E-01	-7.370	Not significant
PRPF31	-0.046	4.848	-0.410	6.92E-01	7.98E-01	-7.370	Not significant
TMED9	-0.073	4.972	-0.410	6.92E-01	7.98E-01	-7.370	Not significant
ATP6V1E1	0.048	4.933	0.409	6.93E-01	7.98E-01	-7.371	Not significant
TYROBP	0.048	4.843	0.406	6.95E-01	8.01E-01	-7.372	Not significant
TWF2	-0.055	4.490	-0.406	6.95E-01	8.01E-01	-7.372	Not significant
MAP1S	-0.049	4.309	-0.405	6.96E-01	8.01E-01	-7.372	Not significant
DNM2	0.047	4.599	0.405	6.96E-01	8.01E-01	-7.373	Not significant
HDLBP	-0.046	5.094	-0.403	6.97E-01	8.02E-01	-7.373	Not significant
SCPEP1	-0.047	5.397	-0.403	6.98E-01	8.02E-01	-7.373	Not significant
TTC38	-0.049	4.765	-0.403	6.97E-01	8.02E-01	-7.373	Not significant
PECAM1	-0.054	4.525	-0.403	6.97E-01	8.02E-01	-7.373	Not significant
AGFG1	0.054	5.170	0.402	6.98E-01	8.02E-01	-7.374	Not significant
SYNE3	0.049	4.107	0.402	6.98E-01	8.02E-01	-7.374	Not significant
SLAIN2	0.069	4.207	0.400	6.99E-01	8.03E-01	-7.374	Not significant
CTSZ	0.069	5.269	0.399	7.00E-01	8.03E-01	-7.375	Not significant
FAU	0.062	4.578	0.400	7.00E-01	8.03E-01	-7.375	Not significant
AATF	0.054	4.603	0.399	7.00E-01	8.03E-01	-7.375	Not significant
TMEM109	-0.057	4.458	-0.399	7.00E-01	8.03E-01	-7.375	Not significant
LYAR	0.052	4.559	0.398	7.01E-01	8.03E-01	-7.375	Not significant
EARS2	0.048	4.569	0.398	7.01E-01	8.03E-01	-7.375	Not significant
C12orf10	-0.053	5.026	-0.399	7.00E-01	8.03E-01	-7.375	Not significant
DEK	-0.056	5.405	-0.396	7.02E-01	8.05E-01	-7.376	Not significant
CDC16	-0.056	4.735	-0.394	7.03E-01	8.06E-01	-7.377	Not significant
TAOK1	-0.060	4.434	-0.393	7.04E-01	8.07E-01	-7.378	Not significant
TFAM	-0.062	4.191	-0.392	7.05E-01	8.07E-01	-7.378	Not significant
DPH6	0.092	2.871	0.390	7.07E-01	8.09E-01	-7.379	Not significant
KHNYN	-0.052	3.405	-0.390	7.07E-01	8.09E-01	-7.379	Not significant
GIGYF2	0.053	4.829	0.389	7.07E-01	8.09E-01	-7.379	Not significant
TBCD	0.047	4.352	0.388	7.08E-01	8.10E-01	-7.380	Not significant
BCAT1	-0.052	4.846	-0.388	7.08E-01	8.10E-01	-7.380	Not significant
PPM1G	0.055	4.838	0.387	7.09E-01	8.10E-01	-7.380	Not significant
MRPL41	-0.047	4.505	-0.385	7.10E-01	8.11E-01	-7.381	Not significant
SAP30BP	-0.045	4.396	-0.384	7.11E-01	8.12E-01	-7.382	Not significant
SETD2	0.046	4.081	0.383	7.11E-01	8.13E-01	-7.382	Not significant
PPP6R3	-0.047	4.629	-0.381	7.13E-01	8.14E-01	-7.383	Not significant
TBL1XR1	-0.052	4.942	-0.381	7.13E-01	8.14E-01	-7.383	Not significant
EDEM1	0.058	3.706	0.380	7.13E-01	8.14E-01	-7.383	Not significant
CWF19L1	-0.049	4.935	-0.380	7.13E-01	8.14E-01	-7.383	Not significant
SDSL	0.045	5.088	0.377	7.15E-01	8.16E-01	-7.384	Not significant
UPF2	0.050	4.591	0.376	7.17E-01	8.17E-01	-7.385	Not significant
ATXN7L3B	-0.043	4.982	-0.376	7.17E-01	8.17E-01	-7.385	Not significant
ARPC4	-0.044	5.328	-0.376	7.17E-01	8.17E-01	-7.385	Not significant
EFTUD2	0.044	5.030	0.375	7.17E-01	8.18E-01	-7.385	Not significant
STT3A	0.044	5.247	0.373	7.18E-01	8.19E-01	-7.386	Not significant
UFL1	0.045	4.958	0.372	7.19E-01	8.19E-01	-7.386	Not significant
APMAP	-0.044	4.964	-0.371	7.20E-01	8.20E-01	-7.387	Not significant
12.0000	-0.044	5.479	-0.370	7.20E-01	8.20E-01	-7.387	Not significant
SF3B6	-0.053	4.667	-0.370	7.21E-01	8.20E-01	-7.387	Not significant
MAEA	-0.045	4.251	-0.368	7.22E-01	8.21E-01	-7.388	Not significant
RTN4IP1	-0.053	4.413	-0.368	7.22E-01	8.22E-01	-7.388	Not significant
LPCAT1	-0.048	4.843	-0.367	7.23E-01	8.22E-01	-7.389	Not significant
PMPCA	-0.046	5.026	-0.366	7.24E-01	8.23E-01	-7.389	Not significant
GABPB1	0.042	4.996	0.365	7.24E-01	8.23E-01	-7.389	Not significant
SRP19	-0.046	5.196	-0.364	7.25E-01	8.24E-01	-7.390	Not significant
TRAPPC3	-0.052	4.776	-0.362	7.26E-01	8.25E-01	-7.390	Not significant
RELA	-0.053	4.910	-0.362	7.27E-01	8.25E-01	-7.391	Not significant
RBL1	0.047	5.163	0.360	7.28E-01	8.26E-01	-7.391	Not significant
YARS2	-0.045	5.136	-0.360	7.28E-01	8.26E-01	-7.391	Not significant
CLYBL	-0.052	4.089	-0.359	7.28E-01	8.27E-01	-7.392	Not significant
CHD4	0.051	4.579	0.357	7.30E-01	8.28E-01	-7.392	Not significant
FAM134C	0.051	4.314	0.357	7.30E-01	8.28E-01	-7.393	Not significant
ACTR10	0.045	4.754	0.355	7.31E-01	8.29E-01	-7.393	Not significant
EBNA1BP2	-0.048	5.342	-0.355	7.32E-01	8.30E-01	-7.393	Not significant
NAPG	0.044	5.354	0.354	7.32E-01	8.30E-01	-7.394	Not significant
SF3B4	0.048	4.823	0.353	7.33E-01	8.30E-01	-7.394	Not significant
CSNK2A1	-0.040	5.024	-0.351	7.34E-01	8.32E-01	-7.395	Not significant
VPS4A	0.051	4.947	0.350	7.35E-01	8.32E-01	-7.395	Not significant
MAP4K4	0.049	4.093	0.351	7.35E-01	8.32E-01	-7.395	Not significant
TBPL2	0.043	5.543	0.350	7.35E-01	8.32E-01	-7.395	Not significant
MBD2	0.043	4.902	0.350	7.35E-01	8.32E-01	-7.395	Not significant
GMEB2	0.047	4.644	0.349	7.36E-01	8.32E-01	-7.395	Not significant
SF3B1	0.040	4.887	0.349	7.36E-01	8.33E-01	-7.396	Not significant
RRS1	0.041	4.651	0.348	7.37E-01	8.33E-01	-7.396	Not significant
SLC27A1	-0.057	3.923	-0.348	7.37E-01	8.33E-01	-7.396	Not significant
PHF10	-0.074	4.273	-0.348	7.37E-01	8.33E-01	-7.396	Not significant
RASA1	-0.065	2.691	-0.347	7.37E-01	8.33E-01	-7.396	Not significant
GTF2E1	0.060	3.785	0.346	7.38E-01	8.33E-01	-7.397	Not significant
EIF2B3	0.041	4.377	0.346	7.38E-01	8.33E-01	-7.397	Not significant
ARHGEF18	-0.043	3.777	-0.345	7.38E-01	8.34E-01	-7.397	Not significant
THOC7	0.046	5.128	0.344	7.39E-01	8.34E-01	-7.397	Not significant
VTA1	0.040	4.983	0.344	7.40E-01	8.35E-01	-7.398	Not significant
DDI2	-0.057	4.292	-0.343	7.41E-01	8.35E-01	-7.398	Not significant
GCFC2	-0.039	4.829	-0.341	7.42E-01	8.36E-01	-7.399	Not significant
MGAT2	-0.039	4.458	-0.340	7.42E-01	8.37E-01	-7.399	Not significant
PDP1	-0.044	4.399	-0.339	7.43E-01	8.37E-01	-7.399	Not significant
